source_file,page,species_name,sentence
synthetic_apj_001.txt,1,Acacia demoensis,Buds occur on a woody rhizome.
synthetic_apj_001.txt,1,Acacia demoensis,Propagation is commonly carried out from seed.
synthetic_apj_001.txt,2,Banksia examplea,Stem cuttings strike readily during spring.
synthetic_apj_001.txt,2,Banksia examplea,The plant may be divided when the rhizome forms several segments.
synthetic_apj_002.txt,3,Grevillea ficta,Seeds benefit from soaking before sowing.
synthetic_apj_002.txt,3,Grevillea ficta,Seed dormancy may be reduced by smoke treatment.
synthetic_apj_002.txt,4,Hakea samplei,Plants resprout from buds near the crown.
synthetic_apj_002.txt,4,Hakea samplei,The shrub grows to 2 m tall in open woodland.
synthetic_apj_003.txt,5,Melaleuca testii,Flowers are usually observed in spring.
synthetic_apj_003.txt,5,Melaleuca testii,Fruits mature after fire in about six months.
synthetic_apj_003.txt,6,Callistemon mockii,Cuttings taken below a node may form roots.
synthetic_apj_003.txt,6,Callistemon mockii,Layering can occur where stems touch damp soil.
synthetic_apj_004.txt,7,Eucalyptus demoensis,Seeds germinate after hot water pretreatment.
synthetic_apj_004.txt,7,Eucalyptus demoensis,Seedlings establish best in full sun.
synthetic_apj_004.txt,8,Leptospermum fictum,The root system includes a woody lignotuber.
synthetic_apj_004.txt,8,Leptospermum fictum,Fresh seed is sown into a sandy growing medium.
synthetic_apj_005.txt,9,Anigozanthos samplei,Clumps can be divided after flowering.
synthetic_apj_005.txt,9,Anigozanthos samplei,Rhizome segments should be kept moist.
synthetic_apj_005.txt,10,Dianella examplea,Division of established plants is reliable.
synthetic_apj_005.txt,10,Dianella examplea,The plant forms stolons in shaded beds.
synthetic_apj_006.txt,11,Lomandra mockii,Seed capsules split when mature.
synthetic_apj_006.txt,11,Lomandra mockii,Soft cuttings require misting and warmth.
synthetic_apj_006.txt,12,Viola ficta,Viable seeds respond to cold stratification.
synthetic_apj_006.txt,12,Viola ficta,Aerial roots sometimes support layered stems.
synthetic_apj_007.txt,13,Patersonia demoensis,No propagation method is described in this note.
